DateTime;Fear & greed index
29.06.2023;59,13
30.06.2023;59,09
01.07.2023;60,47
02.07.2023;60,78
03.07.2023;60,87
04.07.2023;60,95
05.07.2023;62,75
06.07.2023;59,14
07.07.2023;59,12
08.07.2023;55,81
09.07.2023;57,48
10.07.2023;57,14
11.07.2023;56,32
12.07.2023;57,36
13.07.2023;57,86
14.07.2023;63,21
15.07.2023;58,37
16.07.2023;57,95
17.07.2023;57,46
18.07.2023;57,46
19.07.2023;55,40
20.07.2023;55,59
21.07.2023;54,94
22.07.2023;55,45
23.07.2023;54,44
24.07.2023;55,56
25.07.2023;51,74
26.07.2023;51,97
27.07.2023;52,29
28.07.2023;51,47
29.07.2023;51,82
30.07.2023;52,11
31.07.2023;51,71
01.08.2023;51,46
02.08.2023;53,30
03.08.2023;50,89
04.08.2023;50,78
05.08.2023;50,01
06.08.2023;49,88
07.08.2023;49,68
08.08.2023;50,11
09.08.2023;52,87
10.08.2023;51,97
11.08.2023;51,13
12.08.2023;50,70
13.08.2023;50,51
14.08.2023;49,87
15.08.2023;50,46
16.08.2023;49,04
17.08.2023;46,84
18.08.2023;37,22
19.08.2023;33,94
20.08.2023;34,12
21.08.2023;34,72
22.08.2023;34,07
23.08.2023;33,53
24.08.2023;35,37
25.08.2023;34,25
26.08.2023;34,04
27.08.2023;34,15
28.08.2023;34,83
29.08.2023;34,96
30.08.2023;41,87
31.08.2023;40,01
01.09.2023;34,74
02.09.2023;34,17
03.09.2023;34,64
04.09.2023;35,18
05.09.2023;34,94
06.09.2023;34,89
07.09.2023;34,66
08.09.2023;36,62
09.09.2023;35,43
10.09.2023;35,47
11.09.2023;34,98
12.09.2023;31,83
13.09.2023;34,48
14.09.2023;36,22
15.09.2023;37,75
16.09.2023;38,49
17.09.2023;38,41
18.09.2023;38,31
19.09.2023;39,49
20.09.2023;41,65
21.09.2023;41,64
22.09.2023;38,98
23.09.2023;39,35
24.09.2023;39,40
25.09.2023;38,15
26.09.2023;38,54
27.09.2023;38,10
28.09.2023;38,79
29.09.2023;41,60
30.09.2023;42,25
01.10.2023;42,16
02.10.2023;46,56
03.10.2023;44,13
04.10.2023;43,90
05.10.2023;45,24
06.10.2023;43,47
07.10.2023;45,87
08.10.2023;45,56
09.10.2023;45,18
10.10.2023;43,10
11.10.2023;41,97
12.10.2023;39,99
13.10.2023;39,44
14.10.2023;40,24
15.10.2023;40,35
16.10.2023;41,46
17.10.2023;47,27
18.10.2023;46,91
19.10.2023;46,76
20.10.2023;49,04
21.10.2023;52,91
22.10.2023;54,35
23.10.2023;55,04
24.10.2023;67,43
25.10.2023;70,60
26.10.2023;72,05
27.10.2023;71,44
28.10.2023;70,50
29.10.2023;70,60
30.10.2023;71,69
31.10.2023;71,86
01.11.2023;72,23
02.11.2023;74,09
03.11.2023;72,19
04.11.2023;71,53
05.11.2023;72,33
06.11.2023;72,76
07.11.2023;72,97
08.11.2023;73,36
09.11.2023;73,63
10.11.2023;77,10
11.11.2023;78,02
12.11.2023;77,11
13.11.2023;76,37
14.11.2023;74,52
15.11.2023;70,51
16.11.2023;77,11
17.11.2023;71,27
18.11.2023;72,18
19.11.2023;71,61
20.11.2023;73,89
21.11.2023;73,65
22.11.2023;67,09
23.11.2023;72,66
24.11.2023;71,97
25.11.2023;72,83
26.11.2023;72,59
27.11.2023;71,05
28.11.2023;69,44
29.11.2023;70,80
30.11.2023;70,31
01.12.2023;69,55
02.12.2023;72,02
03.12.2023;74,15
04.12.2023;75,09
05.12.2023;79,16
06.12.2023;82,31
07.12.2023;81,29
08.12.2023;80,61
09.12.2023;81,91
10.12.2023;80,40
11.12.2023;80,19
12.12.2023;73,58
13.12.2023;73,35
14.12.2023;76,31
15.12.2023;76,53
16.12.2023;72,70
17.12.2023;72,84
18.12.2023;69,79
19.12.2023;72,47
20.12.2023;71,27
21.12.2023;74,30
22.12.2023;74,93
23.12.2023;75,15
24.12.2023;73,99
25.12.2023;71,64
26.12.2023;72,98
27.12.2023;69,91
28.12.2023;73,11
29.12.2023;70,61
30.12.2023;68,25
31.12.2023;67,90
01.01.2024;67,58
02.01.2024;72,51
03.01.2024;73,68
04.01.2024;66,91
05.01.2024;70,22
06.01.2024;69,57
07.01.2024;68,41
08.01.2024;67,42
09.01.2024;74,41
10.01.2024;72,11
11.01.2024;74,24
12.01.2024;73,22
13.01.2024;63,31
14.01.2024;63,04
15.01.2024;59,36
16.01.2024;61,27
17.01.2024;62,92
18.01.2024;60,96
19.01.2024;56,21
20.01.2024;56,88
21.01.2024;56,98
22.01.2024;56,32
23.01.2024;49,47
24.01.2024;49,50
25.01.2024;49,94
26.01.2024;49,17
27.01.2024;54,86
28.01.2024;55,47
29.01.2024;54,95
30.01.2024;58,64
31.01.2024;57,26
01.02.2024;55,55
02.02.2024;56,76
03.02.2024;56,83
04.02.2024;56,16
05.02.2024;54,65
06.02.2024;54,67
07.02.2024;55,95
08.02.2024;59,30
09.02.2024;61,52
10.02.2024;65,97
11.02.2024;66,99
12.02.2024;67,75
13.02.2024;71,61
14.02.2024;70,69
15.02.2024;75,00
16.02.2024;75,61
17.02.2024;75,57
18.02.2024;73,83
19.02.2024;74,58
20.02.2024;74,01
21.02.2024;74,64
22.02.2024;73,19
23.02.2024;71,60
24.02.2024;69,65
25.02.2024;71,26
26.02.2024;71,51
27.02.2024;76,30
28.02.2024;80,35
29.02.2024;86,10
01.03.2024;84,80
02.03.2024;85,85
03.03.2024;85,61
04.03.2024;86,42
05.03.2024;90,02
06.03.2024;85,77
07.03.2024;88,08
08.03.2024;88,57
09.03.2024;89,19
10.03.2024;89,10
11.03.2024;89,12
12.03.2024;91,70
13.03.2024;90,35
14.03.2024;90,88
15.03.2024;89,18
16.03.2024;86,95
17.03.2024;81,66
18.03.2024;84,66
19.03.2024;83,24
20.03.2024;73,74
21.03.2024;82,34
22.03.2024;79,28
23.03.2024;75,27
24.03.2024;75,48
25.03.2024;79,71
26.03.2024;82,99
27.03.2024;82,27
28.03.2024;80,80
29.03.2024;82,05
30.03.2024;80,43
31.03.2024;79,83
01.04.2024;81,74
02.04.2024;78,58
03.04.2024;71,41
04.04.2024;71,50
05.04.2024;74,95
06.04.2024;73,52
07.04.2024;74,81
08.04.2024;75,83
09.04.2024;78,99
10.04.2024;74,69
11.04.2024;76,24
12.04.2024;74,75
13.04.2024;68,37
14.04.2024;61,13
15.04.2024;64,64
16.04.2024;60,14
17.04.2024;60,31
18.04.2024;55,30
19.04.2024;59,36
20.04.2024;59,79
21.04.2024;62,46
22.04.2024;62,00
23.04.2024;65,41
24.04.2024;64,04
25.04.2024;59,78
26.04.2024;59,73
27.04.2024;57,83
28.04.2024;57,57
29.04.2024;57,11
30.04.2024;58,00
01.05.2024;51,52
02.05.2024;47,31
03.05.2024;48,67
04.05.2024;56,04
05.05.2024;57,92
06.05.2024;58,22
07.05.2024;56,55
08.05.2024;54,55
09.05.2024;52,32
10.05.2024;55,84
11.05.2024;51,07
12.05.2024;51,22
13.05.2024;52,28
14.05.2024;54,86
15.05.2024;52,14
16.05.2024;60,97
17.05.2024;58,80
18.05.2024;62,29
19.05.2024;61,78
20.05.2024;59,88
21.05.2024;69,63
22.05.2024;68,16
23.05.2024;65,99
24.05.2024;63,90
25.05.2024;64,38
26.05.2024;65,24
27.05.2024;63,54
28.05.2024;64,89
29.05.2024;62,60
30.05.2024;60,81
31.05.2024;61,71
01.06.2024;60,11
02.06.2024;60,40
03.06.2024;60,06
04.06.2024;61,86
05.06.2024;64,93
06.06.2024;65,85
07.06.2024;64,61
08.06.2024;61,02
09.06.2024;60,69
10.06.2024;61,38
11.06.2024;60,42
12.06.2024;56,05
13.06.2024;57,83
14.06.2024;54,72
15.06.2024;53,26
16.06.2024;54,16